NewOrder|Espero que la Federación Española se comporte como debe y no se presente a esta patochada...
Fegoms|No todos tienen el mismo concepto de España. Aquí hay secesionistas, pero también federalistas o incluso confederalistas. Todo tan respetable como los que creen en aquella definición falangista, pelín cursi, de la "Unidad de destino en lo universal". En fin, ni durante la gloriosa época de nuestro ínclito Caudillo hubo tal unidad. Hoy, el País Vasco es 95% independiente y la presencia del estado es tan anecdótica e invisible que allí la mayoría de la gente ya ni quiere la independencia total y formal, que solo apoya el 19% de la población, según publicó este mismo diario el pasado 26-nov. No está mal así, después de tanta tragedia, pero quien quiera pelearse por la conciliación de los saldos contables que empiece cuando le de la gana.
Mi_yo|Sinceramente, esperaría que los seleccionados españoles se negaran a jugar con Las Vascongadas, no queda otra. Es todo absurdo y ridículo.
Steve|España no debería presentarse
Hitz|Nada del otro mundo, Inglaterra e Irlanda del Norte, llevan disputando partidos internacionales, desde hace mucho tiempo y no pasa nada.
Fiscal_General_Jaimito|Otro pago más para que pueda sobrevivir Sánchez.
Josh_Rod|Yo sugiero que se presente la selección de Navarra a jugar contra ellos. También La Rioja y Murcia.
leyendo47|Yo no jugaría
Fegoms|@Madison #42 Cerrar En un torneo de naciones juegan eso mismo, naciones, no comunidades autónomas por separado, a las que se encumbra y se pone al nivel de una nación soberana. ¿No hay ya una liga nacional de pelota? Menudo esperpento. A Sánchez se le ha ido la pinza.. Antes de escribir es conveniete ver la deficiación del término "Nación" en el Diccionario de la RAE:1- Conjunto de los habitantes de un país regido por el mismo Gobierno. 2-Conjunto de personas de un mismo origen y que generalmente hablan un mismo idioma y tienen una tradición común." Por ejemplo, se puede decir "La gran nación apache", como decían en la películas del Oeste, igual que se puede hablar de naciones vasca, kurda o tirolesa, todas repartidas entre varios estados.
almen_dros|España no se debe de presentar, en todas las competiciones dónde jueguen ellos España no debe de estar presente
Hito|Que dejen tranquilos a esos cavernicolas con sus troncos, hachas y serpientes.
Indomito|Y la selección española por qué se presta a semejante pantomima ?
Pirulas3|@Mugarri #31 Cerrar Y como siempre, la TV publica española, que la pagamos todos, no retransmite los partidos de pelota, ni las regatas de traineras.... Ni los troncos ni las hachas...
Peacemakerr|Espero que ningún jugador de España se presente a jugar... por DIGNIDAD. Ya se que a los jugadores vascos se la pela. .
Baluarte25|@19101469 #3 Cerrar España tiene un grave problema territorial y con los Partidos Separatistas y en buena parte de debe a lo muy mal que se redactó la Constitución de 1978.Se hizo una Carta Magna entera para satisfacer y contentar a los enemigos de España, es decir a los partidos Separatistas y Nacionalistas. Esto no lo ha hecho ningún otro país del mundo. Se les dio todo lo que pedían. Diferenciar entre Nacionalidades y Regiones. No llamar Español al idioma de España. Se les dio las lenguas cooficiales. No se puso letra al himno de España pero luego los separatistas sí se la pusieron a sus Regiones. Se les dio todo un Estado de las Autonomías con casi todas las competencias. Se recuperaron los privilegios forales para el País Vasco y Navarra. Y por eso ahora somos un Estado Fallido donde un prófugo de la Justicia que quiere destruir España decide los designios de todos los españoles. O un Partido como Bildu, heredero de una banda terrorista, tiene en su mano la gobernabilidad de España. Toca redefiniendo este pais. España que sea lo que quieran los españoles, y si alguien se quiere separar que se vaya.
ibizo|Cuando llegue el momento, que se presente la selección de Canarias. Que rabien esas hienas .
JAU|Yo haría que cuando tengan que jugar un partido entre la selección de las Vascongadas y la selección española, por el lado de España se presenten a competir Pedro Sánchez, Félix Bolaños, Oscar López, Fernando Grande Marlaska y Oscar Puente, porque están acostumbrados a tocar(se) las pelotas, por lo que son auténticos profesionales del asunto.
ibizo|@Mugarri #31 Cerrar Y como siempre, la TV publica española, que la pagamos todos, no retransmite los partidos de pelota, ni las regatas de traineras.... Todos menos los vascos ; que en lugar de poner dinero, os lo lleváis.
Chipironet|Ohhhh que emoción! Donde lo televisan para no coincidir con tamaño evento?
Deckar1|Que gran logro! Era el problema mas acuciante del pais y ya esta solucionado. Gracias Ssnchez
curval|@NetanYahoooo #33 Cerrar Pero que piel mas fina tiene la gente aquí y luego dicen de los millenials, si sois igualitos... y tú qué listo eres.
ibizo|Hasta que EL PSOE no destruya España, no va a parar. Es su objetivo histórico, ese ...y robar hasta que no quede nada.
Paterson|La pasta, humillaciones, y sobre todo, víctimas, que nos hubiésemos ahorrado si a esta gente se les hubiese reconocido la independencia. Esto ellos no lo quieren, es de boquilla. La prueba es que aprovechan para desangrar al resto, en el más amplio sentido de la palabra. Pero todos los gobiernos han mordido el anzuelo y así estamos
curval|@estomesuena #25 Cerrar Hala, ya tienen juguetito para izar banderitas británicas para daltónicos, cantar himnos carlistas y ponerse chapelas con dos rabitos (pe-ne-en-uve). ¡La cuenta! Ahora queda decidir que deportista es vasco-vasco, mestizo o, simplemente, representante de una raza inferior. ¡Y que no pierdan, porque entonces también la tenemos armada! el mayor enemigo del carlismo es el nacionalismo, es decir, la creación de los liberales. Estudie usted antes de soltar esa gansada.
Madison|En un torneo de naciones juegan eso mismo, naciones, no comunidades autónomas por separado, a las que se encumbra y se pone al nivel de una nación soberana. ¿No hay ya una liga nacional de pelota? Menudo esperpento. A Sánchez se le ha ido la pinza..
ibizo|España no debe presentarse.
Madison|@NetanYahoooo #33 Cerrar Pero que piel mas fina tiene la gente aquí y luego dicen de los millenials, si sois igualitos... piel fina? Si le parece poca cosa que se eleve a nación al equipo de una omunudad autónoma es su problema. Algunis tragáis con todo.
Madison|Sánchez y el pago de votos que se extiende al infinito...
Madison|Otra sanchada más. Euskadi no es una nación y no viene a cuento que participe en un torneo de naciones.
EnFrancia|Según el cartel eso es la Nations League... Algo no casa. El País Vasco (antiguas Provincias Vascongadas creadas en Madrid) no es una nación, ni un país, ni un territorio histórico ni nada parecido. Es una región, división administrativa creada junto con tantas otras para facilitar la administración del país, España (una creación burocrática)
ToujoursauContraire|Lo lógico sería que jugara contra el País Vasco la selección del cantón de Cartagena o la del cantón de Alcoy. Eso sí que son nacionalidades históricas.
Un_segarro_amego|Espero que solo se presenten a este partido los españoles de Euskadi.
grease|¿Y qué tal si la selección española se niega a jugar ese esperpento? Problema solucionado.
NetanYahoooo|Pero que piel mas fina tiene la gente aquí y luego dicen de los millenials, si sois igualitos...
dalla|Bravo, tribu contra tribu. Las naciones primeras, como dicen. Pobresamos adecuadamente.
Mugarri|Y como siempre, la TV publica española, que la pagamos todos, no retransmite los partidos de pelota, ni las regatas de traineras....
antirojillos|La selección española debería renunciar a jugar ese partido, espero que así sea.
alaremanguille|El señor articulista miente y lo sabe, porque él, antiguo periodista en Egin, sabe que la de pelota no es la primera selección nacional vasca. Y a los foreros, pues que os toméis un omeprazol.
EugenGoldstein|El felón sólo merece una cosa: ser ejecutado al lado del golpista catalán por alta traición a España.
Nickback|Hay que reconocer que el coche es el más bonito...
Wintermute|@Augustus_max #4 Cerrar Alonso, no llegas ni a la suela de los zapatos de Hamilton! Viejo llorón, retírate ya de una vez! me parece que el que no le llega ni a la parte milimétrica inferior de la suela de los zapatos de Alonso eres precisamente tú. Don Nadie.
cruzdiablo|Alonso, eres el mejor y con un coche mediocre llegaste séptimo y el británico 11. Los progres te odian..Porque no le ríes las gracias al Dictador Sanchinflas el Pintamonas mundial...
Augustus_max|Alonso, no llegas ni a la suela de los zapatos de Hamilton! Viejo llorón, retírate ya de una vez!
Augustus_max|Alonso, estás acabado! Retírate y salva el poco honor que te queda! Llorón!
Pau10|Paquete Alonso...Fin.
Nickback|Hay que reconocer que el coche es el más bonito...
